Date,Time,Operator,Flight #,Route,AC Type,Registration,cn/ln,Aboard,Aboard Passengers,Aboard Crew,Fatalities,Fatalities Passengers,Fatalities Crew,Ground,Summary,Location,Latitude,Longitude,geometry,Percent Survived,Country,Year,GDP,Departure,"Departure Lat,Lng",Departure Country
1959-05-15,20:42,Aerolineas Argentinas,,Mar del Plata - Bahia Blanca,Douglas DC-3,LV-AFW,19790,10.0,6.0,4.0,10.0,6.0,4.0,0.0,Crashed into the sea during a steep turn following a takeoff at night. Undetermined cause.,"Mar del Plata, Aregntina",-38.00228,-57.55754,POINT (-38.00228 -57.55754),100.0,Argentina,1959,0.0,Mar del Plata,"-38.0054771,-57.5426106",Argentina
1959-05-21,,Lineas Aéreas Interpolar,,Miami - Panama City - Talara - Arica,Curtiss C-46A-50-CU,CC-CIA-497,30482,8.0,4.0,4.0,8.0,4.0,4.0,0.0,Crashed into a  mountain while en route..,"Moro, Peru",-9.1388841,-78.1830024,POINT (-9.1388841 -78.18300240000001),100.0,Peru,1959,0.0,Miami,"25.7616798,-80.1917902",United States
1959-06-26,17:35,Trans World Airlines,891,Milan - Paris,Lockheed 1649A Starliner,N7313C,1015,68.0,59.0,9.0,68.0,59.0,9.0,0.0,"While flying from Athens to Chicago, the No. 6 and 7 fuel tanks in the right wing exploded during a storm.  Ignition of gasoline vapors emanating from fuel tank vent pipes by static discharge after the airliner was hit by lightning.","Varese, Lombardia, 20 miles NW of Milan, Italy",45.818948999999996,8.833687,POINT (45.818949 8.833686999999999),100.0,Italy,1959,0.0,Milan,"45.4642035,9.189982",Lombardy
1959-08-03,10:30,Kalinga Airlines,,Mohanbari - Along,Douglas DC-3,VT-DGP,9549,6.0,3.0,3.0,6.0,3.0,3.0,0.0,The cargo plane crashed while en route. Navigational error. The pilot entered a wrong valley and stalled the fully loaded aircraft while attempting to turn back.,"Sagone, India",30.81713,-89.11116,POINT (30.81713 -89.11116),100.0,United States,1959,0.0,Mohanbari,"27.4568842,95.0167967",India
1959-08-19,17:10,Transair,,Barcelona - London,Douglas DC-3,G-AMZD,16112/3286,32.0,29.0,3.0,32.0,29.0,3.0,0.0,"Nineteen minutes after taking off and while climbing, the aircraft entered a cloud and struck Mt. Monseny. Pilot did not follow prescribed regulations.","Barcelona, Spain",41.3828939,2.1774322,POINT (41.3828939 2.1774322),100.0,Spain,1959,0.0,Barcelona,"40.51195999999999,-80.001637",Ross Township
1959-09-02,17:16,Aaxico Airlines,,"Abilene, TX - Forth Worth, TX",Curtiss C-46A,N5140B,26809,2.0,0.0,2.0,2.0,0.0,2.0,0.0,"The cargo plane took off, rose to 200 ft., stalled and crashed. Elevator control lost. The aft link assembly became disconnected from the clevis in the elevator control horn assembly when an improperly secured bolt backed out.","Abilene, Texas",32.44645,-99.7475905,POINT (32.44645 -99.7475905),100.0,United States,1959,0.0,"Abilene, TX","32.4487364,-99.73314390000002",United States
1959-09-12,04:15,Pan American World Airways,,San Salvador - Miami,Douglas DC-4,N88900,10504,3.0,0.0,3.0,3.0,0.0,3.0,0.0,"Shortly after taking off, the cargo plane deviated from it's intended course and struck a mountain, for reasons unknown.","Tegucigalpa, Honduras",14.1056861,-87.204676,POINT (14.1056861 -87.20467600000001),100.0,Honduras,1959,0.0,San Salvador,"13.6929403,-89.2181911",El Salvador
1959-09-23,18:40,VASP,,Sao Paulo - Rio de Janeiro,Saab Scandia 90A-1,PP-SQV,106,20.0,16.0,4.0,20.0,16.0,4.0,0.0,Crashed a few minutes after taking off from Sao Paulo Airport. Cause undetermined.,"Sao Paulo, Brazil",-23.5506507,-46.633382399999995,POINT (-23.5506507 -46.6333824),100.0,Brazil,1959,0.0,Sao Paulo,"-23.5505199,-46.63330939999999",Brazil
1959-09-24,17:20,Reeve Aleutian Airlines,3,Shemya - Cold Bay - Adak - Anchorage,Douglas C-54B,N63396,10486,16.0,11.0,5.0,16.0,11.0,5.0,0.0,Crashed into a mountain while on approach to Adak. Improper approach. Crew error. Pilot did not fly in accordance with visual flight rules over hazardous terrain.,"Great Sitkin Island, Alaska",52.04217505,-176.10210446029203,POINT (52.04217505 -176.102104460292),100.0,United States,1959,0.0,Shemya,"52.7228375,174.1123656",United States
1959-09-24,23:24,T.A. Intercontinentaux (France),,Paris - Bordeaux - Bamako - Abidjan,Douglas DC-7C,F-BIAP,45366/892,65.0,56.0,9.0,54.0,45.0,9.0,0.0,"Crashed shortly after takeoff, not gaining altitude and colliding with trees. Loss of an engine. Crew did not properly monitor altimeter.","Bordeaux, France",44.841225,-0.5800364,POINT (44.841225 -0.5800364),83.07692307692308,France,1959,0.0,Paris,"48.856614,2.3522219",France
1959-09-29,23:09,Braniff Airlines,542,Houston - Dallas,Lockheed 188A Electra,N9705C,1090,34.0,28.0,6.0,34.0,28.0,6.0,0.0,"In-flight separation of the left wing resulted in the aircraft crashing 3 miles southeast of Buffalo, Texas. A design flaw caused an oscillation known as  mode to transfer propeller wobble to the outboard nacelles which induced flutter in the wing which led to the separation of the wing. One of two accidents with the same cause. See 3/17/1960.","Buffalo, Texas",31.4642141,-96.0591968,POINT (31.4642141 -96.0591968),100.0,United States,1959,0.0,Houston,"29.7604267,-95.3698028",United States
1959-10-26,20:18,Pacific Air Lines,308,Los Angeles - Oxnard - Santa Maria - Paso Robles,Douglas C-47A-DL,N67589,19656,19.0,17.0,2.0,1.0,0.0,1.0,1.0,"Moments after rotation the left engine exploded and caught fire. The elevator of the plane hit a 12,000 volt powerline and crash landed upright sliding 65 feet. The only fatality was the first officer who was thrown clear of the accident still strapped to his seat. The number 5 cylinder of the left engine failed leading to an explosion that deformed the left engine's ring cowl to a degree that cause excessive drag and buffeting that made sustained flight impossible. Maintenance records showed the engine had a troubling number of oil leaks.","Santa Maria, California",34.953129499999996,-120.4358577,POINT (34.9531295 -120.4358577),5.263157894736842,United States,1959,0.0,Los Angeles,"34.0522342,-118.2436849",United States
1959-10-30,20:40,Piedmont Airlines,1349,"Washington DC - Charlottsville, VA",Douglas DC-3,N55V,20447,27.0,24.0,3.0,26.0,23.0,3.0,0.0,Crashed into Bucks Elbow Mountain during an ILS approach to Charlottesville Airport. Navigational omission resulting in an off course approach. It took thirty-six hours before the lone survivor was rescued.  A navigational omission which resulted in a lateral course error that was not detected and corrected through precision instrument flying procedures. A contributing factor to the accident may have been pre-occupation of the captain resulting from mental stress.,"Waynesborough, Virginia",-28.107312,26.868509999999997,POINT (-28.107312 26.86851),96.29629629629628,South Africa,1959,0.0,Washington DC,"38.9071923,-77.0368707",United States
1959-11-04,23:07,Wheeler Airlines,1658,Montreal - Hall Lake,Douglas C-54A,CF-ILI,10360,5.0,0.0,5.0,5.0,0.0,5.0,0.0,The cargo plane exploded in midair while en route after an engine fire. The possible failure of the fire detection and warning system to inform the pilot of the existence of a fire before it had penetrated the firewall and ignited the fuel feed system and oil tank to the rear of no.2 engine.,"St. Cleophas, Quebec, Canada",48.492946999999994,-67.743759,POINT (48.49294699999999 -67.743759),100.0,Canada,1959,0.0,Montreal,"45.5016889,-73.567256",Canada
1959-11-16,00:55,National Airlines,967,Tampa - New Orleans,Douglas DC-7B,N4891C,45355,42.0,36.0,6.0,42.0,36.0,6.0,0.0,"The aircraft crashed into the Gulf of Mexico at 29 degrees 13 minutes N, 88 degrees 40 minutes W or about 108 miles east-southeast of New Orleans, while on a flight from Tampa to New Orleans. Sabotage (explosion of a dynamite bomb aboard) was strongly suspected but could never be proven due to lack of physical evidence.  There is a possibility that there is a connection between this crash and the National Airlines crash of January 6, 1960. No one was charged in either case.",Gulf of Mexico,25.0000001,-90.0000001,POINT (25.0000001 -90.00000009999999),100.0,,1959,0.0,Tampa,"27.950575,-82.4571776",United States
1959-11-21,,Ariana Afghan Airlines,202,Beirut - Tehran,Douglas DC-4,YA-BAG,18367,27.0,22.0,5.0,24.0,19.0,5.0,0.0,"Crashed shortly after takeoff, 2.5 miles from Beirut Airport. Navigation error. Possible in-flight fire in the No. 1 engine which induced the pilot to start fire emergency action with a resulting reduction in the rate of turn and the rate of climb.","Beirut, Lebanon",33.8959203,35.478429999999996,POINT (33.8959203 35.47843),88.88888888888891,Lebanon,1959,0.0,Beirut,"33.8937913,35.5017767",Lebanon
1959-11-24,05:35,Trans World Airlines,595,Chicago - Denver - Los Angeles,Lockheed L-1049H Super Constellation,N102R,4824,3.0,0.0,3.0,3.0,0.0,3.0,8.0,"Shortly after taking off the plane experienced a fire warning in the No. 2 engine, shut it down and attempted to return to Midway Airport. During the final approach the aircraft banked in excess of 45 degrees and developed an excessive sink rate. When the aircraft reached the tops of trees its wings were nearly level and its nose was raised in a climbing attitude but the descent continued and the plane crashed one quarter of a mile southeast of the airport. The accident was the consequence of manuvering the aircraft during the turn to final approach in such a manner as to cause a rate of sink from which recovery was not possible. Sometime during the turn the flaps were retracted from 60% to 24% causing a loss of lift.","Chicago, Illinois",41.87556160000001,-87.6244212,POINT (41.87556160000001 -87.6244212),100.0,United States,1959,0.0,Chicago,"41.8781136,-87.6297982",United States
1959-12-01,09:47,Allegheny Airlines,371,Harrisburg - Willamsport,Martin 202,N174A,9159,26.0,22.0,4.0,25.0,21.0,4.0,0.0,"Crashed into Bald Eagle Mountain,13 miles south of Williamsport,  while on an ILS approach to Williamsport.  Probable accidental caging of the fluxgate compass leading to a erroneous heading indication. Captain's failure to execute a timely abandoned approach. There was one passenger who survived.","Williamsport, Pennsylvania",41.2493292,-77.0027671,POINT (41.2493292 -77.0027671),96.15384615384615,United States,1959,0.0,Harrisburg,"40.2731911,-76.8867008",United States
1959-12-17,16:20,California Aircraft,,Juneau - Annette Island,Consolidated PBY-5A Catalina,N64T,2102,3.0,0.0,3.0,3.0,0.0,3.0,0.0,The cargo plane cashed en route after reporting engine trouble.,"Ketchikan, Alaska",55.3430696,-131.6466819,POINT (55.3430696 -131.6466819),100.0,United States,1959,0.0,Juneau,"58.3019444,-134.4197222",Alaska
1959-12-22,13:40,VASP,233,Rio de Janeiro - Sao Paulo,Vickers Viscount 827 / Fokker T-21,PP-SRG / 0742,401,32.0,26.0,6.0,32.0,26.0,6.0,10.0,"A midair collision took place between a Vickers Viscount and a Brazilian Air Force Fokker T-21 trainer, as the Viscount made an approach to land. The pilot of the trainer parachuted to safety. All 32 aboard the Viscount were killed when it crashed into several houses in the district of Ramos. Failure of both pilots to see and avoid each other. Apparently, the pilot of the trainer aircraft was not supposed to cross the approach path of the Viscount.","Rio de Janeiro, Brazil",-22.911013699999998,-43.2093727,POINT (-22.9110137 -43.2093727),100.0,Brazil,1959,0.0,Rio de Janeiro,"-22.9068467,-43.1728965",Brazil
1959-12-24,05:00,Garuda Indonesia Airlines,330,Palembang - Jakarta,Douglas C-47A,PK-GDV,13535,2.0,0.0,2.0,1.0,0.0,1.0,0.0,"Shortly after takeoff the cargo plane lost the No. 2 engine, tried to return to the airport but crashed. Failure of the right engine, a lack of precaution on the part of the captain and marginal weather. A contributing factor may have been the overloaded condition of the aircraft, however, not to such an extent that it forced the aircraft to descend to a dangerously low altitude.","Palembang, Indonesia",-2.9888297,104.756857,POINT (-2.9888297 104.756857),50.0,Indonesia,1959,0.0,Palembang,"-2.9760735,104.7754307",Indonesia
1959-12-31,,Lloyd Aereo Boliviano,,San José de Chiquitos - La Paz,Douglas DC-3,CP-584,19226,11.0,7.0,4.0,11.0,7.0,4.0,0.0,Crashed on takeoff.,"San Jose de Chiquitos, Bolivia",-17.845433800000006,-60.74219029999999,POINT (-17.84543380000001 -60.74219029999999),100.0,Bolivia,1959,0.0,San José de Chiquitos,"-17.8348334,-60.7504879",Bolivia
1960-01-18,22:19,Capital Airlines,20,Washington D.C. - Norfolk,Vickers Viscount 745D,N7462,217,50.0,46.0,4.0,50.0,46.0,4.0,0.0,"The aircraft crashed and burned in a wooded area, striking the ground in a level attitude. The delayed arming of the engine ice-protection systems while flying through icing conditions, causing eventual flame-out of the four engines. This condition existed for sufficient time to cause a drop in battery electrical energy, preventing the unfeathering and relighting of sufficient engines to maintain flight. The aircraft was then dived in an  effort to attain sufficient airspeed to drive the propellers out of the feathered positions by wind-milling.  At the same time, multiple attempts were made to relight one or more engines. Successful relights were either interrupted by auto-feather action initiated by premature advancing of the throttles prior to complete light up of an engine or prevented by insufficient battery electrical energy. No. 4 engine was eventually  relit and the crew had just successfully relit No. 3 engine when the aircraft crashed.","Charles City, Virginia",37.3705777,-77.0605098,POINT (37.3705777 -77.06050980000001),100.0,United States,1960,3441682234966.81,Washington D.C.,"38.9071923,-77.0368707",United States
1960-01-21,,AVIANCA,671,Miami - Montigo Bay,Lockheed 1049E Super Constellation,HK-177,4556,46.0,39.0,7.0,37.0,35.0,2.0,0.0,A heavy landing led to structural failure and a fire. The adoption of a final approach path resulting in a heavy landing during which a major structural failure occurred in the port wing. Crew fatigue. Lack of proper training.,"Montego Bay, Jamacia",18.47116,-77.91883,POINT (18.47116 -77.91883),80.43478260869566,Jamaica,1960,3441682234966.81,Miami,"25.7616798,-80.1917902",United States
1960-01-26,12:30,Transportes Aéreos de Timor,,Darwin - Baucau,de Havilland DH-114 Heron 2D,CR-TAI,14132,9.0,7.0,2.0,9.0,7.0,2.0,0.0,Radio contact was lost with the aircraft before it crashed into the ocean. Poor weather.  Unqualified pilot.,"Bathurst Island, Australia",-11.57730195,130.417739671509,POINT (-11.57730195 130.417739671509),100.0,Australia,1960,0.0,Darwin,"40.457341,-79.94161199999999",Pittsburgh
1960-02-05,07:20,Lloyd Aereo Boliviano,,Cochabamba - La Paz,Douglas DC-4,CP-609,10510,59.0,55.0,4.0,59.0,55.0,4.0,0.0,"Few minutes after takeoff and reaching an altitude of 9,000 feet, the captain stated that an engine exploded. Shortly thereafter, the airplane went out of control and crashed in Laguna Huanacota, about 13 km south of the airport. A two-year-old girl survived but later died from her injuries.Investigators believed that the maximum takeoff weight was exceeded and this contributed to the engine exploding.","Cochabamba, Bolivia",-17.3935853,-66.1569588,POINT (-17.3935853 -66.1569588),100.0,Bolivia,1960,3962959042.97599,Cochabamba,"-17.4139766,-66.1653224",Bolivia
1960-02-26,,Alitalia,,Rome - Shannon - Gander -New York City,Douglas DC-7C,I-DUVO,45231/945,52.0,40.0,12.0,34.0,23.0,11.0,0.0,Lost altitude shortly after taking off and crashed. Cause unknown.,"Shannon, Ireland",52.710454399999996,-8.8788366,POINT (52.7104544 -8.8788366),65.38461538461539,Ireland,1960,0.0,Rome,"41.9027835,12.4963655",Lazio
1960-03-15,,Agencia Interamericana de Aviada,,Aracacuara - Villavicencio,Consolidated PBY-5A Catalina,HK-1001E,,13.0,10.0,3.0,6.0,4.0,2.0,0.0,Crashed in the jungle  en route.,"El Refugio, Colombia",3.39813895,-76.55159486151041,POINT (3.39813895 -76.55159486151041),46.153846153846146,Colombia,1960,41571030699.8182,Aracacuara,"-0.6333329999999999,-72.25",Colombia
1960-03-17,15:25,Northwest Orient Airlines,710,Chicago - Miami,Lockheed 188C Electra,N121US,1057,63.0,57.0,6.0,63.0,57.0,6.0,0.0,An in-flight separation of the wing. A design flaw caused an oscillation known as whirl mode to transfer propeller wobble to the outboard nacelles which induced flutter in the wing which led to the separation of the wing. Reduced stiffness of the structure and the entry of the aircraft into an area of severe clear air turbulence were contributing factors. One of two crashes with the same cause.  See 9/29/59.,"Cannelton, 10 mile SE of Tell City, Indiana",37.914175,-86.750393,POINT (37.914175 -86.750393),100.0,United States,1960,3441682234966.81,Chicago,"41.8781136,-87.6297982",United States
1960-04-12,14:20,Cruzeiro,,Jaguarão - Rio Grande - Pelotas - Porto Alegre,Douglas DC-3,PP-CDS,4823,22.0,19.0,3.0,10.0,8.0,2.0,0.0,"While taking off, the plane drifted to the right, overcorrected to the left and struck two other aircraft. Pilot error.  Incorrect use of the brakes and controls while on the ground.","Pelotas, Brazil",-31.769973600000004,-52.341016100000004,POINT (-31.7699736 -52.3410161),45.45454545454545,Brazil,1960,0.0,Jaguarão,"-32.56087650000001,-53.3775707",96300-000
1960-04-19,20:48,Lloyd Aereo Colombiano,503,Miami - Medellin - Bogota,Curtiss C-46,HK-390,32954,51.0,44.0,7.0,37.0,31.0,6.0,0.0,Crashed during final approach. The pilot failed to take proper action to counteract the loss of speed and height in the final approach turn. Lack of pilot experience.,"Bogota, Colombia",4.59808,-74.0760439,POINT (4.59808 -74.0760439),72.54901960784314,Colombia,1960,3441682234966.81,Miami,"25.7616798,-80.1917902",United States
1960-04-20,13:06,Piedmont Airlines / Private,,"Cincinnati, OH - Hickory, NC",Fairchild F-27 / Cessna 310,N2704R/N1807H,17,44.0,39.0,5.0,4.0,3.0,1.0,0.0,"The aircraft were involved in a midair collision while both were making an approach to land. The pilot of the Cessna, the over-taking aircraft, failed to see and avoid the F-27 during the landing appoach. Four died aboard the Cessna, none aboard the Fairchild.","Hickory, North Carolina",35.7333312,-81.3442915,POINT (35.7333312 -81.3442915),9.090909090909092,United States,1960,3441682234966.81,"Cincinnati, OH","39.1031182,-84.5120196",United States
1960-05-15,22:57,Balair,,Niamey - Khartoum,Douglas DC-4-1009,HB-ILA,43072,12.0,5.0,7.0,12.0,5.0,7.0,0.0,"Crashed into 8,000 ft. Mt. Marra. Navigation error by the crew who were using an astrofix to estimate their position.","Jebel Marra, Sudan",13.043476,24.026931,POINT (13.043476 24.026931),100.0,Sudan,1960,2392215373.12118,Niamey,"13.5115963,2.1253854",Niger
1960-06-10,22:05,Trans Australia Airlines,538,Rockhampton - MacKay,Fokker F-27 Friendship 100,VH-TFB,10112,29.0,25.0,4.0,29.0,25.0,4.0,0.0,"The flight crashed into the sea, 7.5 miles from the airport after being in a holding pattern waiting for fog to lift.  Cause could not be determined.","Mackay, Qld. Australia",-21.141956,149.1865149,POINT (-21.141956 149.1865149),100.0,Australia,1960,206734197138.16898,Rockhampton,"-23.3790772,150.510016",Australia
1960-06-14,04:47,Pacific Northern Airlines,201,Cordova - Anchorage,Lockheed 749A-79-32 Constellation,N1554V,2555,14.0,9.0,5.0,14.0,9.0,5.0,0.0,"The aircraft failed to maintain its intended flight path and  crashed into the face of Mt. Gilbert at 9,646 ft. after taking off from Cordova. The crew's failure to use all available  navigational aids in establishing the aircraft's position on Amber I Airway thereby allowing the aircraft  to proceed off course over dangerous terrain. A contributing factor to the  accident was the failure of air defense radar, which had been tracking the aircraft, to notify either  ARTCC or the crew that the aircraft was proceeding on a dangerous course.","Mt. Gilbert, Alaska",54.2512048,-165.6605409,POINT (54.2512048 -165.6605409),100.0,United States,1960,0.0,Cordova,"40.4548419,-79.9397905",Pittsburgh
1960-06-24,18:30,REAL,,Belo Horizonte - Rio de Janeiro,Convair CV-340-62,PP-YRB,191,54.0,49.0,5.0,54.0,49.0,5.0,0.0,Crashed into Guanabara Bay during approach. Cause undetermined.,"Rio de Janeiro, Brazil",-22.911013699999998,-43.2093727,POINT (-22.9110137 -43.2093727),100.0,Brazil,1960,286196738836.70197,Belo Horizonte,"-19.9166813,-43.9344931",Brazil
1960-07-31,11:56,Deutsche Flugdienst,,Frankfort - Rimini,Convair CV-240-4, D-BELU,78,34.0,30.0,4.0,1.0,1.0,0.0,0.0,"While descending through 5,000ft, the crew lost the No.1 engine. At 1,500 ft. the other engine was also lost. The aircraft crashed 3,300 ft. short of the runway. Failure of both engines on the aircraft.","Rimini, Italy",43.9470982,12.630768610516,POINT (43.9470982 12.630768610516),2.9411764705882346,Italy,1960,3441682234966.81,Frankfort,"38.2009055,-84.87328350000001",United States
1960-08-01,,TAM (Bolivia),,La Paz - Tipuani,Douglas C-47,TAM-09,9030,6.0,4.0,2.0,6.0,4.0,2.0,0.0,The DC-3 crashed into Hayti Mountain while en route.,"Tipuani, Bolivia",-15.564894599999999,-68.0187987,POINT (-15.5648946 -68.0187987),100.0,Bolivia,1960,3962959042.97599,La Paz,"-16.489689,-68.11929359999999",Bolivia
1960-08-29,06:47,Air France,343,Paris - Dakar - Monrovia - Abidjan,Lockheed 1049G Super Constellation,F-BHBC,4622,63.0,55.0,8.0,63.0,55.0,8.0,0.0,"The aircraft crashed into the Atlantic Ocean after an unsuccessful landing attempt. Cause undetermined. Possible structural failure or loss of control due to turbulence, sensory illusion or distraction of the flight crew which could have been associated with a lightning strike.","Dakar, Senegal",14.693425,-17.447938,POINT (14.693425 -17.447938),100.0,Senegal,1960,684477080169.693,Paris,"48.856614,2.3522219",France
1960-09-02,17:10,Aeroflot,804,	Arkhangelsk - 	Cherepovets,Ilyushin IL-14P,CCCP-04200,1470 014 18,18.0,13.0,5.0,18.0,13.0,5.0,0.0,The plane flew into the side of Mt. Belaya in poor weather. Crew flew below minimums.,"Zikhnovo, Russia",56.640915799999995,29.0086178,POINT (56.64091579999999 29.0086178),100.0,Russia,1960,0.0,	Arkhangelsk,"64.5458549,40.55057679999999",Russia
1960-09-22,,Wheeler Airlines,,Campbell Lake - St Jovite,Noorduyn Norseman,CF-FOJ,N29-32,4.0,3.0,1.0,3.0,2.0,1.0,0.0,"Shortly after takeoff from Campbell Lake, while climbing, the single engine aircraft stalled and crashed in flames in a wooded area. The pilot and two passengers were killed while a third passenger was seriously injured.  Engine failure.","Campbell Lake, Quebec Canada",45.978856799999996,-74.28607609999997,POINT (45.9788568 -74.28607609999997),75.0,Canada,1960,0.0,Campbell Lake,"40.5415818,-79.8897066",Pennsylvania
1960-09-26,23:40,Austrian Airlines,901,Warsaw - Moscow,Vickers Viscount 837,OE-LAF,437,37.0,31.0,6.0,31.0,26.0,5.0,0.0,"Crashed on approach to Moscow, 11 nm short of the runway. Malfunctioning or misread altimeter.","Moscow, Russia",55.7504461,37.6174943,POINT (55.7504461 37.6174943),83.7837837837838,Russia,1960,,Warsaw,"52.2296756,21.0122287",Poland
1960-09-29,12:15,United Arab Airlines,738,Geneva - Rome,Vickers Viscount 739B,SU-AKW,427,21.0,17.0,4.0,21.0,17.0,4.0,0.0,Crashed  into the Tyrrhenian Sea off Elba after penetrating severe thunderstorm.,"Elba, Italy",42.79021905,10.3402813923538,POINT (42.79021905 10.3402813923538),100.0,Italy,1960,,Geneva,"46.2043907,6.1431577",Switzerland
1960-10-04,17:40,Eastern Air Lines,375,Boston - Philadelphia,Lockheed 188A Electra,N5533,1062,72.0,67.0,5.0,62.0,59.0,3.0,0.0,"A few seconds after becoming airborne, the aircraft struck a flock of starlings. A number of these birds were ingested in engines No. 1, 2, and 4.  Engine No. 1 was shut down and its propeller was feathered. Engines No. 2 and 4 experienced a substantial momentary loss of power. This abrupt and intermittent loss and recovery of power resulted in the aircraft yawing to the left and decelerating to the stall speed. As speed decayed during the continued yaw and skidding left turn, the stall speed was reached; the left wing dropped, the nose pitched up, and the aircraft rolled left into a spin and fell almost vertically into the water. An altitude of less than 150 feet precluded recovery.","Boston, Massachusetts",42.3602534,-71.0582912,POINT (42.3602534 -71.0582912),86.11111111111109,United States,1960,3441682234966.81,Boston,"42.3600825,-71.0588801",United States
1960-10-14,15:50,Itavia,115,Rome - Genoa,de Havilland DH-114 Heron 2,I-AOMA,14090,11.0,7.0,4.0,11.0,7.0,4.0,0.0,Hit Mt. Capanne while en route.  Cause unknown.,"Elba, Italy",42.79021905,10.3402813923538,POINT (42.79021905 10.3402813923538),100.0,Italy,1960,0.0,Rome,"41.9027835,12.4963655",Lazio
1960-10-15,,Capitol Airways,,Rapid City - Ogden,Curtiss C-46F,N1300N,22481,2.0,0.0,2.0,2.0,0.0,2.0,0.0,"The right wing of the cargo plane separated from the aircraft at 6,500 ft. Fatigue of the right wing lower attach angle bolts resulting in an in-flight wing failure.","Plain City, Utah",41.29792910000001,-112.0789165,POINT (41.29792910000001 -112.0789165),100.0,United States,1960,0.0,Rapid City,"44.0805434,-103.2310149",South Dakota
1960-10-28,11:39,Northwest Orient Airlines,104,Spokane - Missoula,Douglas C-54A-DC,N48762,10320,12.0,8.0,4.0,12.0,8.0,4.0,0.0,"Crashed into mountains in snow showers while descending to Missoula. The aircraft entered a steep left banking turn and the nose was raised in an apparent attempt to turn and climb out through an intersecting valley, however, the aircraft continued to sink toward the ground, rolled to the left and crashed inverted. The failure of the pilot to continue in accordance with his IFR flight plan by attempting a VFR approach during instrument weather conditions.","Missoula, Montana",46.8701049,-113.9952672,POINT (46.8701049 -113.9952672),100.0,United States,1960,3441682234966.81,Spokane,"47.6587802,-117.4260466",United States
1960-10-29,22:02,Arctic Pacific,,"Toledo - Kansas City, MO",Curtiss C-46F-1-CU,N1244N,22458,48.0,45.0,3.0,22.0,20.0,2.0,0.0,"Crashed after taking off from Toledo Express Airfield, landing 5,800 ft. beyond the runway threshold. Sixteen members of the California State  Polytechnic College,  San Luis Obispo football team killed. Premature lift-off, partial loss of power in the No.1 engine, overweight aircraft and weather conditions were the cause of the crash.","Toledo, Ohio",41.678675399999996,-83.51272829999998,POINT (41.6786754 -83.51272829999998),45.83333333333333,United States,1960,3441682234966.81,Toledo,"41.6528052,-83.5378674",United States
1960-11-05,,Royal Nepal Airlines,,Bairahawa - Kathmandu,Douglas C-47A,9N-AAD,19792,4.0,0.0,4.0,4.0,0.0,4.0,0.0,"While in  the initial climb, the plane stalled and crashed in a huge explosion.","Bhairawa, Nepal",27.512726,83.453148,POINT (27.512726 83.453148),100.0,Nepal,1960,2791171336.32931,Bairahawa,"27.5065119,83.43767489999999",Nepal
1960-11-23,18:45,Philippine Air Lines,26,Iloilo - Manila,Douglas DC-3,PI-C133,13397,33.0,29.0,4.0,33.0,29.0,4.0,0.0,Crashed into Mt. Baco while en route. Navigational error under adverse weather conditions.,"Manila, Philippines",14.590621599999999,120.9799696,POINT (14.5906216 120.9799696),100.0,Philippines,1960,30798194686.6301,Iloilo,"10.7201501,122.5621063",Philippines
1960-12-04,22:53,Aeroflot,081,	Syktyvkar - Moscow,Ilyushin 14M,	 CCCP-52091,7342905,14.0,9.0,5.0,14.0,9.0,5.0,0.0,The right engine caught fire. The crew initiated an emergency  descent from which the right wing broke off  causing the aircraft to crash.,"Chernovo, Russia",59.55833370000001,29.986655900000002,POINT (59.55833370000001 29.9866559),100.0,Russia,1960,0.0,	Syktyvkar,"61.6641145,50.8168774",Russia
1960-12-07,,REAL,,Cuiaba - Manaus,Curtiss C-46A-60-CK,PP-AKF,295,15.0,13.0,2.0,15.0,13.0,2.0,0.0,"The No.2 engine failed while en route. The aircraft lost altitude, crashed in a jungle and burned. Starboard engine failed to feather for reasons unknown.","Cachimbo, Brazil",-5.90883,-44.302785,POINT (-5.90883 -44.302785),100.0,Brazil,1960,0.0,Cuiaba,"-15.60086,-56.0968227",State of Mato Grosso
1960-12-16,10:33,United Air Lines / Trans World Airlines,826/266,Chicago - New York City / Columbus - New York City,MD DC-8-11 / Lockheed  1049 S Const,N8013U/N6907C,45290 /4021,128.0,116.0,12.0,128.0,116.0,12.0,6.0,"A midair collision took place over Staten Island at 5,000 ft. The Connie was cleared to land at La Guardia Airport on Runway 04 when the United DC-8 struck the Connie tearing it apart. The Connie immediately crashed to the ground at Miller Army Air Field on Staten Island. One passenger was sucked out into one of the DC8s jet engines. Other passengers fell from the Connie as the spinning fuselage fell onto Staten Island. The United jet tried to make an emergency landing at La Guardia Airport but could not maintain altitude and crashed into the streets of Brooklyn. Forty-four passengers on the Constellation and eight-four passengers on the DC-8 were killed. Three passengers from the DC-8 died shortly after. One young boy, Stephen Baltz survived several days before succumbing to his injuries. Six people were also killed on the ground. The United crew entered a low-altitude holding pattern at 500 miles per hour, twice the speed it should have been going and flew past the clearance limits and airspace allocated to the flight. One of 2 VORs on the DC-8 was not functioning. Although the crew knew this, they failed to report this to the ATC, who probably would have provided extra radar assistance.","Staten Island / Brooklyn, New York",40.652256,-73.956582,POINT (40.652256 -73.956582),100.0,United States,1960,3441682234966.81,Chicago,"41.8781136,-87.6297982",United States
